"origipaddr(p0)","origipaddr(p1)","origipaddr(p2)","destipaddr","datetimeconnect","datetimedisconnect","duration","origdevicename(p0)","origdevicename(p1)","origdevicename(p2)","origdevicename(p3)","origipv4v6addr(p0)","origipv4v6addr(p1)","origipv4v6addr(p2)","origipv4v6addr(p3)","destipv4v6addr"
-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.5841102614747548,0.9988368687560767,0.35679536554505287,-0.9628318584070796,0,0.912870929175277,-0.32274861218395134,-0.25,0,0,0.9682458365518543,-0.25,-0.6666666666666272
-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.5841102614747548,0.9988368687560767,0.35679536554505287,-0.9628318584070796,0,0.912870929175277,-0.32274861218395134,-0.25,0,0,0.9682458365518543,-0.25,-0.6666666666666272
-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.5841102614747548,0.9988369012105391,0.35680472934141694,-0.9823008849557522,0,0.912870929175277,-0.32274861218395134,-0.25,0,0,0.9682458365518543,-0.25,-0.6666666666666272
-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.5841102614747548,0.9988369026216026,0.35680472934141694,-0.984070796460177,0,0.912870929175277,-0.32274861218395134,-0.25,0,0,0.9682458365518543,-0.25,-0.6666666666666272
0,0,1,-1,-1,0.666474058577569,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6665567721121175,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.666641046279393,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6667229794975778,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6668025717666715,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6668907475157653,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6669742413666773,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.5841102614747548,0.9982252488908907,0.018571919613368904,-0.95929203539823,0,0.912870929175277,-0.32274861218395134,-0.25,0,0,0.9682458365518543,-0.25,-0.6666666666666272
-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.5841102614747548,0.9982252488908907,0.018571919613368904,-0.95929203539823,0,0.912870929175277,-0.32274861218395134,-0.25,0,0,0.9682458365518543,-0.25,-0.6666666666666272
0,0,1,-1,-1,-0.7920441284509979,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.5841102614747548,0.9995068487999337,0.7273176664014891,-0.9079646017699115,0,0.912870929175277,-0.32274861218395134,-0.25,0,0,0.9682458365518543,-0.25,-0.6666666666666272
-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.5841102614747548,0.9995068487999337,0.7273176664014891,-0.9079646017699115,0,0.912870929175277,-0.32274861218395134,-0.25,0,0,0.9682458365518543,-0.25,-0.6666666666666272
0,0.9428090415820636,-0.33333333333333326,-1,-1,0.7906598472218591,-1,0,0,0.9682458365518543,-0.25,0,0.912870929175277,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.5259921429945342,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.5260537879872638,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.5261169936127204,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.5261786386054499,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.526241063914543,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.680489320785326,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.680575155585329,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6806531872216952,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6807319991744254,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6808100308107916,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.680885721498067,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6809684350326153,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6810449060362542,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0.9428090415820636,-0.33333333333333326,-0.40172337835789584,0.9979857321364245,-0.11386649489302447,-0.9274336283185841,0,0,0.9682458365518543,-0.25,0,0.912870929175277,-0.32274861218395134,-0.25,-0.8666666666666272
-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.5841102614747548,0.9967560142131495,-0.7939129861419716,-0.95929203539823,0,0.912870929175277,-0.32274861218395134,-0.25,0,0,0.9682458365518543,-0.25,-0.6666666666666272
-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.5841102614747548,0.9967560142131495,-0.7939129861419716,-0.95929203539823,0,0.912870929175277,-0.32274861218395134,-0.25,0,0,0.9682458365518543,-0.25,-0.6666666666666272
-0.816496580927726,-0.4714045207910318,-0.33333333333333326,-0.5841102614747548,0.9981754439907149,-0.008954520431218471,-0.9238938053097345,0,0.912870929175277,-0.32274861218395134,-0.25,0,0,0.9682458365518543,-0.25,-0.6666666666666272
